can_id,can_nam,spe_id,spe_nam,ele_typ,can_off_sta,can_off_dis,can_off,can_par_aff,exp_amo,exp_dat,agg_amo,sup_opp,pur,pay,file_num,amn_ind,tra_id,ima_num,rec_dat,prev_file_num,dissem_dt
P00003392,"CLINTON, HILLARY RODHAM",C00542902,AMERICARISINGPAC.ORG,P, ,00,P,Dem,"$2,000.00",08/14/2015,"$0.00",Oppose,ONLINE ADVERTISING,TARGETED VICTORY,1021643,N,SE.8765,201508169000830417,08/16/2015, ,08/15/2015
P00003392,"CLINTON, HILLARY RODHAM",C00542902,AMERICARISINGPAC.ORG,P,NV,00,P,Dem,"$9,500.00",10/13/2015,"$0.00",Oppose,DIGITAL PRODUCTION,POOLHOUSE,1028277,N,SE.8778,201510149002868005,10/14/2015, ,10/13/2015
P00003392,"CLINTON, HILLARY RODHAM",C00542902,AMERICARISINGPAC.ORG,P,MN,00,P,Dem,"$13,500.00",12/10/2015,"$0.00",Oppose,DIGITAL PRODUCTION,WERPOLITICS,1036021,N,SE.8785,201512169004247074,12/16/2015, ,12/15/2015
P00003392,"CLINTON, HILLARY RODHAM",C00542902,AMERICARISINGPAC.ORG,P,NV,00,P,Dem,"$1,000.00",10/13/2015,"$0.00",Oppose,DIGITAL ADVERTISING,TARGETED VICTORY,1028277,N,SE.8780,201510149002868005,10/14/2015, ,10/13/2015
P00003392,"CLINTON, HILLARY RODHAM",C00542902,AMERICARISINGPAC.ORG,P,MN,00,P,Dem,"$2,000.00",12/15/2015,"$0.00",Oppose,DIGITAL ADVERTISING,TARGETED VICTORY,1036021,N,SE.8787,201512169004247074,12/16/2015, ,12/15/2015
P00003392,"CLINTON, HILLARY RODHAM",C00542902,AMERICARISINGPAC.ORG,P, ,00,P,Dem,"$16,250.00",08/27/2015,"$28,651.10",Oppose,DIGITAL ADVERTISING,WERPOLITICS,1023539,N,SE.8768,201508279001584990,08/27/2015, ,08/17/2015
P00003392,"CLINTON, HILLARY",C00487363,American Crossroads,P,IA,00,P,Dem,"$50,100.00",01/17/2016,"$54,600.00",Oppose,ONLINE ADVERTISING,TARGETED VICTORY,1040313,N,SE.1,201601179004512483,01/17/2016, ,01/17/2016
P00003392,"CLINTON, HILLARY",C00487363,American Crossroads,P,IA,00,P,Dem,"$4,500.00",01/17/2016,"$54,600.00",Oppose,WEB AD PRODUCTION,RICHARD SALES MEDIA,1040313,N,SE.2,201601179004512483,01/17/2016, ,01/17/2016
P00003392,"Clinton, Hillary",C00487363,American Crossroads,G, ,00,P,Dem,"$3,000.00",07/10/2015,"$20,765.00",Oppose,Web Ad Production,Richard Sales Media,1024644,N,SE.1,201509149002011657,09/14/2015, ,05/20/2015
P00003392,"Clinton, Hillary",C00487363,American Crossroads,G, ,00,P,Dem,"$5,765.00",09/14/2015,"$20,765.00",Oppose,Web Ad Production,Wilson-Grand Communications,1024644,N,SE.2,201509149002011657,09/14/2015, ,09/14/2015
P00003392,"Clinton, Hillary",C00487363,American Crossroads,G, ,00,P,Dem,"$10,000.00",09/14/2015,"$20,765.00",Oppose,Online Advertising,Targeted Victory,1024644,N,SE.3,201509149002011658,09/14/2015, ,09/14/2015
P00003392,"CLINTON, HILLARY",C00487363,American Crossroads,P,NV,00,P,Dem,"$38,130.00",02/13/2016,"$41,130.00",Oppose,ONLINE ADVERTISING,TARGETED VICTORY,1049315,N,SE.1,201602139008458539,02/13/2016, ,02/13/2016
P00003392,"CLINTON, HILLARY",C00487363,American Crossroads,P,NV,00,P,Dem,"$3,000.00",02/13/2016,"$41,130.00",Oppose,WEB AD PRODUCTION,RICHARD SALES MEDIA,1049315,N,SE.2,201602139008458539,02/13/2016, ,02/13/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P, ,00,P,Dem,"$11,000.00",12/21/2015,"$306,600.00",Oppose,Radio Ad Buys,"Phillips Broadcasting - WAOC, WFOY",1038307,N,SE.4460,201601069004438189,01/06/2016, ,01/06/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P, ,00,P,Dem,"$12,160.00",12/29/2015,"$335,260.00",Oppose,Radio Ad Buys,Salem Media Group - WLCC,1038307,N,SE.4462,201601069004438190,01/06/2016, ,01/06/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P, ,00,P,Dem,"$13,000.00",12/16/2015,"$144,200.00",Oppose,Radio Ad Buys,Southern Stone Communications,1038307,N,SE.4458,201601069004438191,01/06/2016, ,01/06/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P, ,00,P,Dem,"$13,000.00",12/17/2015,"$157,200.00",Oppose,Radio Ad Buys,WNUE Entravision,1038307,N,SE.4459,201601069004438191,01/06/2016, ,01/06/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P, ,00,P,Dem,"$16,500.00",12/28/2015,"$323,100.00",Oppose,Radio Ad Buys,JV Communications - WPRD,1038307,N,SE.4461,201601069004438188,01/06/2016, ,01/06/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P, ,00,P,Dem,"$123,200.00",12/16/2015,"$123,200.00",Oppose,Radio Ad Buy,Cox Media Group,1038307,N,SE.4457,201601069004438187,01/06/2016, ,01/06/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P, ,00,P,Dem,"$9,700.00",01/05/2016,"$349,440.00",Oppose,Radio Ad Buys,JV Communications - WPRD,1038307,N,SE.4464,201601069004438188,01/06/2016, ,01/06/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P, ,00,P,Dem,"$8,000.00",12/16/2015,"$131,200.00",Oppose,Radio Ad Buys,Q Broadcasting - WONQ,1038307,N,SE.4456,201601069004438190,01/06/2016, ,01/06/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P, ,00,P,Dem,"$4,480.00",12/29/2015,"$339,740.00",Oppose,Radio Ad Buys,LM Radio Communications - WOTS,1038307,N,SE.4463,201601069004438189,01/06/2016, ,01/06/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P,FL,00,P,Dem,"$138,400.00",12/17/2015,"$295,600.00",Oppose,Radio Ad Buys,"Beasley Media Group, Inc.",1041324,A1,SE.4466,201601219004558426,01/21/2016,1038307,01/06/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P, ,00,P,Dem,"$138,400.00",12/17/2015,"$295,600.00",Oppose,Radio Ad Buys,"Beasley Media Group, Inc.",1038307,N,SE.4466,201601069004438187,01/06/2016, ,01/06/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P,FL,00,P,Dem,"$16,500.00",12/28/2015,"$323,100.00",Oppose,Radio Ad Buys,JV Communications - WPRD,1041324,A1,SE.4461,201601219004558427,01/21/2016,1038307,01/06/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P,FL,00,P,Dem,"$13,000.00",12/17/2015,"$157,200.00",Oppose,Radio Ad Buys,WNUE Entravision,1041324,A1,SE.4459,201601219004558430,01/21/2016,1038307,01/06/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P,FL,00,P,Dem,"$13,000.00",12/16/2015,"$144,200.00",Oppose,Radio Ad Buys,Southern Stone Communications,1041324,A1,SE.4458,201601219004558430,01/21/2016,1038307,01/06/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P,FL,00,P,Dem,"$12,160.00",12/29/2015,"$335,260.00",Oppose,Radio Ad Buys,Salem Media Group - WLCC,1041324,A1,SE.4462,201601219004558429,01/21/2016,1038307,01/06/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P,FL,00,P,Dem,"$11,000.00",12/21/2015,"$306,600.00",Oppose,Radio Ad Buys,"Phillips Broadcasting - WAOC, WFOY",1041324,A1,SE.4460,201601219004558428,01/21/2016,1038307,01/06/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P,FL,00,P,Dem,"$9,700.00",01/05/2016,"$349,440.00",Oppose,Radio Ad Buys,JV Communications - WPRD,1041324,A1,SE.4464,201601219004558427,01/21/2016,1038307,01/06/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P,FL,00,P,Dem,"$8,000.00",12/16/2015,"$131,200.00",Oppose,Radio Ad Buys,Q Broadcasting - WONQ,1041324,A1,SE.4469,201601219004558429,01/21/2016,1038307,01/06/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P,FL,00,P,Dem,"$4,480.00",12/29/2015,"$339,740.00",Oppose,Radio Ad Buys,LM Radio Communications - WOTS,1041324,A1,SE.4463,201601219004558428,01/21/2016,1038307,01/06/2016
P00003392,"CLINTON, HILLARY RODHAM",C00559906,Americas PAC,P,FL,00,P,Dem,"$123,200.00",12/16/2015,"$123,200.00",Oppose,Radio Ad Buy,Cox Media Group,1041324,A1,SE.4470,201601219004558426,01/21/2016,1038307,01/06/2016
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,SC,00,P,Dem,"$757.11",11/16/2015,"$757.11",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10743,201601209004547597,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,SD,00,P,Dem,"$130.63",11/16/2015,"$130.63",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10744,201601209004547598,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,TN,00,P,Dem,"$1,033.25",11/16/2015,"$1,033.25",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10745,201601209004547598,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,TX,00,P,Dem,"$3,937.16",11/16/2015,"$3,937.16",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10746,201601209004547599,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,UT,00,P,Dem,"$407.50",11/16/2015,"$407.50",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10747,201601209004547599,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,VA,00,P,Dem,"$1,313.46",11/16/2015,"$1,313.46",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10749,201601209004547600,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,VT,00,P,Dem,"$105.28",11/16/2015,"$105.28",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10748,201601209004547600,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,WA,00,P,Dem,"$1,104.17",11/16/2015,"$1,104.17",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10750,201601209004547601,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,WI,00,P,Dem,"$922.66",11/16/2015,"$922.66",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10752,201601209004547602,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,WV,00,P,Dem,"$309.39",11/16/2015,"$309.39",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10751,201601209004547601,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,WY,00,P,Dem,"$91.14",11/16/2015,"$91.14",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10753,201601209004547602,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,AK,00,P,Dem,"$112.40",11/16/2015,"$112.40",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10705,201601209004547577,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,AL,00,P,Dem,"$773.30",11/16/2015,"$773.30",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10704,201601209004547577,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,AR,00,P,Dem,"$468.64",11/16/2015,"$468.64",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10707,201601209004547579,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,AZ,00,P,Dem,"$1,021.93",11/16/2015,"$1,021.93",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10706,201601209004547579,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,CA,00,P,Dem,"$5,979.19",11/16/2015,"$5,979.19",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10708,201601209004547580,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,CO,00,P,Dem,"$817.71",11/16/2015,"$817.71",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10709,201601209004547580,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,KY,00,P,Dem,"$704.46",11/16/2015,"$704.46",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10720,201511189003374111,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,LA,00,P,Dem,"$727.23",11/16/2015,"$727.23",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10721,201511189003374111,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,MA,00,P,Dem,"$1,090.33",11/16/2015,"$1,090.33",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10724,201511189003374113,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,MD,00,P,Dem,"$942.88",11/16/2015,"$942.88",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10723,201511189003374112,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,ME,00,P,Dem,"$222.79",11/16/2015,"$222.79",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10722,201511189003374112,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,MI,00,P,Dem,"$1,594.81",11/16/2015,"$1,594.81",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10725,201511189003374113,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,MN,00,P,Dem,"$855.71",11/16/2015,"$855.71",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10726,201511189003374114,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,MO,00,P,Dem,"$967.48",11/16/2015,"$967.48",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10728,201511189003374115,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,MS,00,P,Dem,"$468.80",11/16/2015,"$468.80",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10727,201511189003374114,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,MT,00,P,Dem,"$163.23",11/16/2015,"$163.23",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10729,201511189003374115,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,NC,00,P,Dem,"$1,550.30",11/16/2015,"$1,550.30",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10736,201511189003374119,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,ND,00,P,Dem,"$112.09",11/16/2015,"$112.09",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10737,201511189003374119,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,NE,00,P,Dem,"$290.88",11/16/2015,"$290.88",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10730,201511189003374116,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,NH,00,P,Dem,"$218.43",11/16/2015,"$218.43",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10732,201511189003374117,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,NJ,00,P,Dem,"$1,426.07",11/16/2015,"$1,426.07",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10733,201511189003374117,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,NM,00,P,Dem,"$328.79",11/16/2015,"$328.79",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10734,201511189003374118,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,NV,00,P,Dem,"$433.30",11/16/2015,"$433.30",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10731,201511189003374116,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,NY,00,P,Dem,"$3,193.50",11/16/2015,"$3,193.50",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10735,201511189003374118,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,OH,00,P,Dem,"$1,862.31",11/16/2015,"$1,862.31",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10738,201511189003374120,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,OK,00,P,Dem,"$600.73",11/16/2015,"$600.73",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10739,201511189003374120,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,OR,00,P,Dem,"$632.86",11/16/2015,"$632.86",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10740,201511189003374121,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,PA,00,P,Dem,"$2,100.02",11/16/2015,"$2,100.02",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1033341,N,SE.10741,201511189003374121,11/18/2015, ,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,CT,00,P,Dem,"$584.33",11/16/2015,"$584.33",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10710,201601209004547581,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,DC,00,P,Dem,"$107.86",11/16/2015,"$107.86",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10754,201601209004547603,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,DE,00,P,Dem,"$147.79",11/16/2015,"$147.79",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10711,201601209004547581,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,FL,00,P,Dem,"$3,169.08",11/16/2015,"$3,169.08",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10712,201601209004547582,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,GA,00,P,Dem,"$1,541.16",11/16/2015,"$1,541.16",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10713,201601209004547582,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,HI,00,P,Dem,"$225.16",11/16/2015,"$225.16",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10714,201601209004547583,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,IA,00,P,Dem,"$491.87",11/16/2015,"$491.87",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10718,201601209004547585,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,ID,00,P,Dem,"$243.39",11/16/2015,"$243.39",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10715,201601209004547583,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,IL,00,P,Dem,"$2,055.72",11/16/2015,"$2,055.72",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10716,201601209004547584,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,IN,00,P,Dem,"$1,034.96",11/16/2015,"$1,034.96",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10717,201601209004547584,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,KS,00,P,Dem,"$451.77",11/16/2015,"$451.77",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10719,201601209004547585,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,KY,00,P,Dem,"$704.46",11/16/2015,"$704.46",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10720,201601209004547586,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,LA,00,P,Dem,"$727.23",11/16/2015,"$727.23",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10721,201601209004547586,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,MA,00,P,Dem,"$1,090.33",11/16/2015,"$1,090.33",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10724,201601209004547588,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,MD,00,P,Dem,"$942.88",11/16/2015,"$942.88",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10723,201601209004547587,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,ME,00,P,Dem,"$222.79",11/16/2015,"$222.79",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10722,201601209004547587,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,MI,00,P,Dem,"$1,594.81",11/16/2015,"$1,594.81",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10725,201601209004547588,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,MN,00,P,Dem,"$855.71",11/16/2015,"$855.71",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10726,201601209004547589,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,MO,00,P,Dem,"$967.48",11/16/2015,"$967.48",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10728,201601209004547590,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,MS,00,P,Dem,"$468.80",11/16/2015,"$468.80",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10727,201601209004547589,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,MT,00,P,Dem,"$163.23",11/16/2015,"$163.23",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10729,201601209004547590,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,NC,00,P,Dem,"$1,550.30",11/16/2015,"$1,550.30",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10736,201601209004547594,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,ND,00,P,Dem,"$112.09",11/16/2015,"$112.09",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10737,201601209004547594,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,NE,00,P,Dem,"$290.88",11/16/2015,"$290.88",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10730,201601209004547591,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,NH,00,P,Dem,"$218.43",11/16/2015,"$218.43",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10732,201601209004547592,01/20/2016,1033341,11/16/2015
P00003392,"CLINTON, HILLARY",C00524454,CONSERVATIVE MAJORITY FUND,G,NJ,00,P,Dem,"$1,426.07",11/16/2015,"$1,426.07",Oppose,VOTER CONTACT,INFOCISION MANAGEMENT CORP,1041034,A1,SE.10733,201601209004547592,01/20/2016,1033341,11/16/2015
